SUPPLIER;CATEGORY;Serial Number;Description;Quantity in Stock;Purchase Price;GUARANTEE;Location
MIDEA;KLIMA;17222000026151;EC-AC26DCINV / R32 jashtme;Electronic control box subassembly;74;63.457;Yes;Depo
MIDEA;KLIMA;17222000023691;EC AC 25 DCINV jashtme;Electronic control box subassembly;2;58.5086;Yes;Depo
MIDEA;KLIMA;17222000031064;EC AC 25 DCINV jashtme;Electronic control box subassembly;47;48.9233;Yes;Depo
MIDEA;KLIMA;17222000037155;EC MU20 OUT 1/2 jashtme;Electronic control box subassembly;8;41.1091;Yes;Depo
MIDEA;KLIMA;17222000009509;EC AC13 DCINV KLIME e brendshme;Electronic control box subassembly (Mid-and low-end);6;12.5579;Yes;Depo
MIDEA;KLIMA;17222000029125;EC - AC 55 FS INV e jashtme;Electronic control box subassembly;6;232.2633;Yes;Depo
MIDEA;KLIMA;17222000029116;EC-AC60 FS DCINV e jashtme;Electronic control box subassembly;5;232.0052;Yes;Depo
MIDEA;KLIMA;17222000031157;EC-AC11DCINV / R32 jashtme;Electronic control box subassembly;5;32.6719;Yes;Depo
MIDEA;KLIMA;17222000028451;EC AC 13 DCINV e jashtme;Electronic control box subassembly;5;37.2554;Yes;Depo
MIDEA;KLIMA;17222000034395;EC-AC20DCINV / R32 e brenshme;Electronic control box subassembly (Mid-and low-end);2;11.1784;Yes;Depo
MIDEA;KLIMA;17122000021908;EC - AC 55 FS INV e jashtme;Inverter control board subassembly;7;28.3376;Yes;Depo
MIDEA;KLIMA;17122000041914;EC-AC14DCINV / R32 brenshme;Display board subassembly;8;1.8957;Yes;Depo
MIDEA;KLIMA;17222000035528;;Electronic control box subassembly;18;43.076;Yes;Depo
MIDEA;KLIMA;17222000013351;EC AC 10 DCINV brenshme;Electronic control box subassembly (Mid-and low-end);14;11.9349;Yes;Depo
MIDEA;KLIMA;17222000033815;EC-AC20 DCIN FREEZE/ R32 brendshme;Electronic control box subassembly (Mid-and low-end);17;10.9203;Yes;Depo
MIDEA;KLIMA;11002015011867;EC-AC20 DCIN FREEZE/ R32 brendshme;Brushless DC Motor;4;11.4454;Yes;Depo
MIDEA;KLIMA;17222000A61455;EC-CONS 20 FREEZE jashtme;Electronic control box subassembly;5;46.1287;Yes;Depo
MIDEA;KLIMA;17222000A61452;EC-CONS 14 FREEZE jashtme;Electronic control box subassembly;4;37.38;Yes;Depo
MIDEA;KLIMA;17222000A57794;EC-AC14 DCIN FREEZE / R32 jashtme;Electronic control box subassembly;2;40.2191;Yes;Depo
MIDEA;KLIMA;17222000A64451;EC MU45 OUT 1/5 jashtme;Electronic control box subassembly;3;98.5675;Yes;Depo
MIDEA;KLIMA;17222000A60530;EC-AC14 DCIN FREEZE / R32 jashtme;Electronic control box subassembly;1;37.2465;Yes;Depo
MIDEA;KLIMA;17222300A02868;EC MU30 OUT 1/3 jashtme;Electronic control box subassembly;1;86.6593;Yes;Depo
MIDEA;KLIMA;17222000A57776;EC-AC65 FS DCINV jashtme;Electronic control box subassembly;77;237.3096;Yes;Depo
MIDEA;KLIMA;17222300A02929;;Electronic control box subassembly;28;109.2297;Yes;Depo
MIDEA;KLIMA;17222000A60590;EC-AC26 DCIN FREEZE/ R32 jashtme;Electronic control box subassembly;40;52.0383;Yes;Depo
MIDEA;KLIMA;17402002000464;EC-AC20 DCIN FREEZE/ R32 jashtme;Heater;30;5.8473;Yes;Depo
MIDEA;KLIMA;17402002000544;EC-AC26 DCIN FREEZE/ R32 jashtme;Heater;68;5.1709;Yes;Depo
MIDEA;KLIMA;17222300002272;EC MU30 OUT 1/3 jashtme;Electronic control box subassembly;10;80.6963;Yes;Depo
MIDEA;KLIMA;17222500002700;EC CAS200 IND brenshme;Electronic control box subassembly;1;18.7345;Yes;Depo
MIDEA;KLIMA;17222500003720;EC CAS 200 IND brenshme;Electronic control box subassembly;2;18.6544;Yes;Depo
MIDEA;KLIMA;17222500003722;EC CAS 150 IND brenshme;Electronic control box subassembly;2;18.6455;Yes;Depo
MIDEA;KLIMA;17222500003825;EC CAS 120 IND brenshme;Electronic control box subassembly;5;18.6455;Yes;Depo
MIDEA;KLIMA;17222000A57819;EC-AC19 FW410A brenshme;Electronic control box subassembly (Mid-and low-end);10;13.9018;Yes;Depo
MIDEA;KLIMA;17222000A60881;EC-AC14DCINV / R32 brenshme;Electronic control box subassembly (Mid-and low-end);4;12.2019;Yes;Depo
MIDEA;KLIMA;17222000A01170;EC-AC 14 DCIN FREEZE brenshme;Display box subassembly;5;1.2193;Yes;Depo
MIDEA;KLIMA;17222000A54622;EC-AC26 DCIN FREEZE/ R32 brenshme;Display box subassembly;10;2.8124;Yes;Depo
"VESTEL;TV;23152437;per 40FLHYR160S;CN.A.FFC 51P/600 0.5mmLVDS(39""MB82UNDS03;1;0.37;Yes;Depo"
VESTEL;LAVATRIQE;42148896;WM6-800G;PLASTIC LIFTER 140;2;0.29;Yes;Depo
VESTEL;LAVATRIQE;2 2320645;WM9-12T2T;*VEL.CARD T2T-569A3F5028220200-v11.8.T30;10;4.26;Yes;Depo
VESTEL;Frigorifer;42233508;Tani 42325870 ECO-FF373  Displej komplet;*DISPLAY BOX GR/D.CONT/492-553(SILV)/H;3;3.9;Yes;Depo
VESTEL;Frigorifer;32034650;per ECO395 1T;LED ST/2835*6/8*129MM/BDL3 (I);10;2.03;Yes;Depo
VESTEL;LAVATRIQE;32041883;WM9-12T2T;MOTOR(12-1400/50-51-54-55LT)WELLING;10;52.29;Yes;Depo
VESTEL;LAVATRIQE;32041980;WM9-1.2K PREMIUM;MOTOR(1000 RPM 51 LT)TYPE33-WELLING;3;74.08;Yes;Depo
VESTEL;LAVATRIQE;32028671;Tani 32028741 per WM811 se veq filteri po del ma shtrejt;PUMP(HANNING-ALU-50HZ);10;1.42;Yes;Depo
VESTEL;Frigorifer;32043354;Tani 32051770 ECO-FF373 pllaka per displej;GK/BDD77/C.KONT.GID/H;29;2.61;Yes;Depo
VESTEL;LAVATRIQE;32005174;Tani 32033135 WM611;DOOR LOCK(THERMAL-SIGMA TYPE)METALFLEX;3;0.62;Yes;Depo
VESTEL;Frigorifer;32010069;ECO3951T nderpreres ne dere;REED SWITCH PCB;6;1.91;Yes;Depo
VESTEL;Frigorifer;47014876;Xham rafti per ECO3951T;R GLASS SHELF/374;5;2.75;Yes;Depo
VESTEL;Frigorifer;42139498;PVC plastike para xhamit te raftit ECO3951T;R.GLASS SHELF PRF/366(EXT)WH RV1 492;5;0.3;Yes;Depo
VESTEL;Frigorifer;42267433;PVC plastike pas xhamit te raftit ECO3951T;R.GLASS SHELF BACK TRIM/374(S.W) RV1;5;0.69;Yes;Depo
VESTEL;LAVATRIQE;42065326;WM8-1100;DETERGENT BOX GROUP/COLD/5;5;3.48;Yes;Depo
"VESTEL;LAVATRIQE;32032130;CIN200, CIN230, CIN260 I BRENSHEM;FAN MOTOR IDU FLORA 18/24 BLDC 27W;1;11.66;Yes;Depo"
VESTEL;LAVATRIQE;32024463;WM10K-PREMIUM;DOOR LOCK DL-S2(SEL-BITRON);5;3.44;Yes;Depo
VESTEL;LAVATRIQE;32050669;WM10K-1.2K;MOTOR(1000 RPM-59-61LT-55MM)WELLING;5;34.21;Yes;Depo
VESTEL;THARESE;22153015;ETH-8HP;E. CARD GR F4-0021021201000300_8-v05h;10;24.85;Yes;Depo
VESTEL;LAVATRIQE THARES;20826457;PER WD 7/5 SILVER;F4.CARD GR.WITHOUT BUZZER;9;6.05;Yes;Depo
VESTEL;LAVATRIQE;22362316;WM10K-1.2K;E.CARD T0-487BFFF020200000-V01_15-A;1;19.87;Yes;Depo
VESTEL;LAVATRIQE;2 2136855;WM10K-1300 Per nje lloj te lava.SN00775371006430800035;VEL.CARD F4-4844FFF020300000-V02.5-G;8;25.97;Yes;Depo
"VESTEL;LAVATRIQE;20691919;WM601N, wm8-1k premium;REAR TUB GROUP(TUF 800/1000);10;16.23;Yes;Depo"
VESTEL;LAVATRIQE;2 2001295;WM601N;DRUM GROUP/42-ALVA500-3(800/1000)SK;3;31.43;Yes;Depo
VESTEL;THARESE;42161609;ETH-8K;**FIXED DOOR HOOK PLASTIC;3;0.2;Yes;Depo
"VESTEL;TV;23158490;nga toshiba 40L3443DG(2014);MD.ASY.17IPS20R6-50""LB_MB95;2;9.37;Yes;Depo"
VESTEL;TV;30095545;VENTIL;ASSY TCON LG 2D/3D LC490EQY-SHM1/SHP1 PL;3;10.64;Yes;Depo
VESTEL;LAVATRIQE;32041980;WM9-1.2K PREMIUM;MOTOR(1000 RPM 51 LT)TYPE33-WELLING;5;74.08;Yes;Depo
"VESTEL;LAVATRIQE;32017283;WM601, WM611;MOTOR TUF(4-5-6-800 -42)30 MM-AL WELLING;2;25.28;Yes;Depo"
"VESTEL;LAVATRIQE;32000535;Tani 32019343 WM9-1200, wm8-1400, wm7-1000g, WM10K-1200, 1300;MOTOR(600/800/1000 RPM 48/52/57 LT);4;28;Yes;Depo"
VESTEL;Frigorifer;32034496;ECO-SBS620BLV;COMPR.VFA090CY1/VCC/DN;2;32.75;Yes;Depo
VESTEL;ENELARES;32026703;EN14V;HEATER CASING/1800W;3;10.44;Yes;Depo
VESTEL;ENELARES;32029797;EMO12 FULLV;DISPLAY KART D13/20BMD03/23219417;3;5.08;Yes;Depo
"VESTEL;ENELARES;32048181;EMO12 FULLV, EMO20 FULLV;DIS.KART I1/DSIZ/B/BMD03R3/TI/23758609;10;3.09;Yes;Depo"
VESTEL;Frigorifer;32048535;Tani 32051388 ECO-SBS620BLV;MAINBOARD/BDA10/620M/ISR/F/NSHBT/V45.8-2;3;29.45;Yes;Depo
VESTEL;LAVATRIQE;22319534;WM9-1.2K PREMIUM;E.CARD T0-467BFFF028200000-v01_15-A;5;17.19;Yes;Depo
VESTEL;LAVATRIQE;2 2243509;WM601N per njelloj;*HT.CARD F1A-2279FFF020100000-V0428;3;12.66;Yes;Depo
VESTEL;LAVATRIQE;22362316;WM10-1.2K;E.CARD T0-487BFFF020200000-V01_15-A;5;19.87;Yes;Depo
VESTEL;LAVATRIQE;22320645;WM9-12T2T;*VEL.CARD T2T-569A3F5028220200-v11.8.T30;10;4.2;Yes;Depo
VESTEL;LAVATRIQE;42268844;WM9-1.2K PREMIUM;DOOR HANDLE/C36-C37;10;0.43;Yes;Depo
VESTEL;Frigorifer;32051339;Tani 22389756 ECO 3951 T;MB/BDA67/FK/AT/375E/R3/29.284.1-23816706;1;12.65;Yes;Depo
VESTEL;THARESE;22391220;ETH-8HPN;E.KART F4-10785101_F seriesHPAl11-OT;8;20.69;Yes;Depo
VESTEL;THARESE;22255147;ETH-8HP;E.CARD F4-10763548_F seriesHPAl03;3;21.42;Yes;Depo
VESTEL;THARESE;22249938;ETH-8HP;E. CARD GR F4-10763548_F seriesHPAl01;3;15.76;Yes;Depo
VESTEL;THARESE;22356452;Tani 22391220 ETH-8HPN (06.01.24). Kjo nuk e zavendeson 22425777;E.CARD F4-10785101_F seriesHPAl09;3;20.69;Yes;Depo
VESTEL;LAVATRIQE;2 0784100;WM601N;*E.CARD F1A-2279FFF004100000-32K-NL-V03İ;33;14.68;Yes;Depo
VESTEL;LAVATRIQE;22145703;WM8-80;DRUM GROUP/51-ALVA B2-SK;3;46.35;Yes;Depo
VESTEL;TV;23619631;nga JVC 50VU8000;17IPS72R4;2;15.87;Yes;Depo
VESTEL;TV;30109265; nga JVC 50VU8001 sn8585748100512;TCON nuk ka ne fabrike;1;6.63;Yes;Depo
"VESTEL;TV;23861378;FINLUX 65-AUH-2311, SN9047901300013;CHS.ASSY.17MB185-11135216H12A54518381;3;40.29;Yes;Depo"
"VESTEL;TV;23677947;per  65-auh-2111, sn8856492200074;CHS.ASSY.17MB170-11833216H91A42518389;15;44.51;Yes;Depo"
"VESTEL;LAVATRIQE;42105198;WM8-1000R, WM8-1100;FRONT TUB 47LT-TYPE3-E;8;4.51;Yes;Depo"
VESTEL;LAVATRIQE;22136855;WM10K-1300 Per nje lloj te lava.SN00775371006430800035;VEL.CARD F4-4844FFF020300000-V02.5-G;4;25.97;Yes;Depo
"VESTEL;LAVATRIQE;20691919;WM8K-PREMIUM, WM601N;REAR TUB GROUP(TUF 800/1000);3;16.23;Yes;Depo"
VESTEL;LAVATRIQE;2 0678006;;RESISTANCE GR.(S.FUSE-ST-B(1850W));1;3.27;Yes;Depo
"VESTEL;LAVATRIQE;32053579;ECO-FF1, PRODHUAR 10/08/23;MAINBOARD/BDA76/2761M/A+/R4/V29.46.81-23;18;10.24;Yes;Depo"
VESTEL;LAVATRIQE;2 2214948;ETH-8K  TE LIRA SN00722374010139960079;E.CARD F1-10722374_F seriesCN00;1;6.67;Yes;Depo
VESTEL;LAVATRIQE;32019342;PER WM8-1000R;MOTOR(800 RPM 47-49LT)-AL-TYPE20-WELLING;15;30.68;Yes;Depo
VESTEL;SHPORET;32030554;Tani 22295384 per ECO-READY;LCD MONOCHROME FR30 OEM 23391360;2;68.19;Yes;Depo
VESTEL;Frigorifer;32053634;ECO-FF177V KOMPLET;LAM.TH.B.GR/2761M/F/(432$)SW LDA/RDL;2;12.46;Yes;Depo
VESTEL;ENELARES;2 2181336;DW14V;ELECT.CARD VX14_YR;1;18.91;Yes;Depo
VESTEL;LAVATRIQE;4 2028889;Kapak per WM601N;UPPER TRAY GROUP/42/SIGMA PLUS;6;5.31;Yes;Depo
VESTEL;THARESE;42209501;ETH-9K ;WATER TANK GROUP 112LT;50;7.06;Yes;Depo
VESTEL;LAVATRIQE;42110378;WM10K-PREMIUM;DETERGENT BOX GR/FULL/COLD/57/5-FM;49;10.77;Yes;Depo
VESTEL;BOILER;32030942;BOILER;MAIN PCB TRM-25-75 23390786/20TM01/M;49;15.39;Yes;Depo
VESTEL;Frigorifer;32050159;Tani 32043026 ECO-SBS620BLV;RADIAL FAN MOT.MFC0361V3 120MM(IMP)VR3;100;5.18;Yes;Depo
VESTEL;Frigorifer;32042948; ECO-SBS620BLV BLACK;RADIAL FAN MOTOR 100MM-1650RPM SUNON;20;5.6;Yes;Depo
"VESTEL;lAVATRIQE;32035767;VINIA e veqante;VALVE(2 EXIT-RAST2,5);3;5.96;Yes;Depo"
VESTEL;Frigorifer;32027851; ECO-SBS620BLV BLACK;SENSOR/STAND./R6K/800MM/DOUBLE ITHAL;2;1.62;Yes;Depo
VESTEL;SHPORET;22320464;EV-60 MT Black;OUTER GLASS ASSEMBLY(TOP/STANDARD);1;7.55;Yes;Depo
VESTEL;TV;23429641;Tani 23494070 43-FFB-5500 SHIRITA ME LLEDA;LED BAR.500 DLD4 U/VNB FlipC V2 U_YED.PA;50;9.78;Yes;Depo
VESTEL;ENELARES;32031878;Tani 22134769 EN14V;HEATER CAS FLOW THROUGH/AWECO 1800W;10;5.2;Yes;Depo
VESTEL;LAVATRIQE;2 0846089;;RESISTANCE GR.(ALVA)49-54/2000W-M;10;5.03;Yes;Depo
VESTEL;LAVATRIQE;42127585;;TUB EXIT BELLOWS GR(HOSE+BALL);7;2.18;Yes;Depo
VESTEL;LAVATRIQE;4 2087110;wm8-1400 ;TUB ENTERANCE WITH BELLOW HOSE-C;5;0.74;Yes;Depo
"VESTEL;LAVATRIQE;22080216;WM9K-1100 WM9K-1200, WM8K-1000;E.CARD F4-4246FFF020300000-V06L-G;4;26.3;Yes;Depo"
VESTEL;THARESE;42201218;ETH-10K;CON.PAN.GR.ECOLUX XF4T(ETH-10K);3;12.37;Yes;Depo
VESTEL;ENELARES;32037007;EMO12 FULLV (14/11/2020);DISPLAY CARD D21/KRMZ/20BMD03SR2/2350873;3;6.04;Yes;Depo
VESTEL;.;32043420;NXEHMES KUADRATIK;HEATER(1600-900W/2 TH(TP)-1 NTC)-IRCA;2;15.5;Yes;Depo
"VESTEL;THARESE;32031619;Tani 32035780 per ETH-9K, ETH-8K;DOOR LATCH(MV-438-5(2)A MS)-METALFLEX;3;3.25;Yes;Depo"
"VESTEL;ENELARES;32037542;EMO-18IXV, EMO12FULLV, EMO-12BSIC, EMO-20FULLV;DOOR LOCK-2/USA;1;1.32;Yes;Depo"
VESTEL;KLIMA;32035107;KOMPRESOR per CIN260;COMP. R410A/R32 DAT150MAG LG;10;170.95;Yes;Depo
VESTEL;Frigorifer;32034496;SBS620BLV kompresor inverter;COMPR.VFA090CY1/VCC/DN;4;33.73;Yes;Depo
VESTEL;Frigorifer;32013533;EV-60 CER  ;MOTOR FAN 230V H;9;3.24;Yes;Depo
"VESTEL;ENELARES;3 2039463;Tani 3 2040522 per EMO-12BSIC, FULLV;WELLING WASHING PUMP-3;10;9.73;Yes;Depo"
VESTEL;Frigorifer;32047193;Pllaka afer kompresorit ECO-SBS620BLV;VFA090CY1/INVERTER/14801;3;23.25;Yes;Depo
VESTEL;THARESE;42164399;Tani 42232588 rryp2012;BELT(7-8-9KG 100-112LT)7PH2012-HUTCHIN;4;4.06;Yes;Depo
VESTEL;LAVATRIQE;42199898;WM10-1.2K;DETERGENT BOX GR/FULL/COLD/57/6;2;12.14;Yes;Depo
"VESTEL;LAVATRIQE;42026020;WM10-1.2K, 1200, 1300;UPPER TRAY GROUP/57/SIGMA PLUS;2;6.51;Yes;Depo"
VESTEL;THARESE;42201171;ETH-9K;CON.PAN.GR.ECOLUX XF2A(ETH-9K);3;11.03;Yes;Depo
VESTEL;LAVATRIQE;22040926;WM10-1300;**E.CARD F4-4844FFF02030-V06C;3;22.58;Yes;Depo
"VESTEL;sHPORET;42275280;EV-60 CER;DOOR GASKET(N65,Y65,F,O TYPE);2;2.47;Yes;Depo"
VESTEL;SHPORET;32036146;EV-60 CER;SIGNAL LAMP LENS RED 6MM ANEL;9;0.02;Yes;Depo
VESTEL;SHPORET;22344149;EV-60 CER;OUTER GLASS ASS;27;11.13;Yes;Depo
"VESTEL;SHPORET;47019394;EV-60 CER;DOOR_FULL_INNER_GLASS_TIP7LD_AN/66_LOWE,;45;5.57;Yes;Depo"
"VESTEL;LAVATRIQE;22324932;WM10K-1300, 1200;DRUM GROUP/59-ALVA BE-2-SK;11;32.99;Yes;Depo"
VESTEL;LAVATRIQE;42124306;WM8-1200;TUB BELLOWS SEAL/PYTHON-C;10;5.85;Yes;Depo
VESTEL;SHPORET;32030554;Tani 22295384 per ECO-READY;VP FULL TOUCH KIT GR;60;70.24;Yes;Depo
VESTEL;LAVATRIQE;42195191;WM10K-1300;PORTHOLE GROUP W(D110);13;24.92;Yes;Depo
VESTEL;Frigorifer;32053579;;MAINBOARD/BDA76/2761M/A+/R4/V29.46.81-23;60;10.55;Yes;Depo
VESTEL;THARESE;22251499;ETH-8K;E.CARD F1-10722374_F seriesCN02;1;17.02;Yes;Depo
"VESTEL;SHPORET;42194327;EV-0/H 60IX;KNOB(PİPO FLAT,WH.INOX);1;1.74;Yes;Depo"
VESTEL;SHPORET;32001459;Tani 32031727;CAP. THERMOSTAT 285C NGBI/FO/DO TCS;4;3.84;Yes;Depo
VESTEL;THARESE;3 2046776;;CAPASITOR(11uF-B CLASS-M8)ORTAK;2;1.42;Yes;Depo
"VESTEL;LAVATRIQE;32025730;WM8-1200 WM7,6-800g, wm10-prem;ELECTRONIC PRESSURE SENSOR;2;1.84;Yes;Depo"
VESTEL;SHPORET;32031722;EV-0/H 60IX;LIMIT THERMOSTAT NC 200C 250V 16A T;2;0.6;Yes;Depo
"VESTEL;KLIMA;32027079;AC26 e JASHTME (CIN260, CIN230, CIN200);FAN MOTOR ODU 24/28K BLDC(BO);30;31.44;Yes;Depo"
VESTEL;Frigorifer;32028706;ECO-11177V;LED BULB/E14/6500K (N);6;2.2;Yes;Depo
VESTEL;TV ;23501396;65-FUC-8060;CHS.ASS.17MB130E-1B523113H144415173S3;3;28.52;Yes;Depo
VESTEL;TV ;30091082;;R/C 4848 R2 BLACK NETFLIX RC5 NOBRAND Ro;3;4.21;Yes;Depo
"VESTEL;LAVATRIQE;4 2028889;WM601N, WM7-1K Premium;UPPER TRAY GROUP/42/SIGMA PLUS;2;5.47;Yes;Depo"
VESTEL;LAVATRIQE;42199110;WM10K-PREMIUM;CON.PAN.GR.ECOLUX XFG(WM10K-PREMIUM);27;11.81;Yes;Depo
VESTEL;SHPORET;32015559;Tani 37050020;TC VSTL FR01 20568389 ÖN 4T;1;20.17;Yes;Depo
VESTEL;LAVATRIQE;47000778;Tani 47013982 kama-bulon;ADJUSTABLE FEET GR.;18;0.25;Yes;Depo
VESTEL;ENELARES;22151466;Per EMO-08 FULLV;DIS.KART  displej;20;7.9;Yes;Depo
VESTEL;SHPORET;22344149;EV-60 CER;OUTER GLASS ASS;5;11.13;Yes;Depo
VESTEL;ENELARES;32045498;Tani 32046903 per ECO-EN16V;DIS.CARD A1/B3/46R3/20BMD16/23727262;5;7.87;Yes;Depo
VESTEL;ENELARES;22180157;Per EMO-08 FULLV;ELEC.CARD VI1D_7;5;22.31;Yes;Depo
VESTEL;KLIMA;42196356;CIN200 ;FRONT BODY VENTUM 18/24K D.INOX;1;21.3;Yes;Depo
VESTEL;LAVATRIQE;3 2041883;WM9-12T2T;MOTOR(12-1400/50-51-54-55LT)WELLING;5;53.86;Yes;Depo
"VESTEL;LAVATRIQE;32025730;WM8-1200 WM7,6-800g, wm10-prem;ELECTRONIC PRESSURE SENSOR;3;1.84;Yes;Depo"
VESTEL;LAVATRIQE;32033617;WM10K-PREMIUM SN00721259005100560050;MOTOR(12-14/59-60-61 DC)TYPE 27-WELLING;2;40.42;Yes;Depo
"VESTEL;LAVATRIQE;22261757;WM9-1.2K PREMIUM, WM8-1400;REAR TUB GROUP(51E)TYPE1-F;9;21.41;Yes;Depo"
VESTEL;SHPORET;22081176;EV-60 MT Black;FAN MOTOR GROUP;10;3.61;Yes;Depo
VESTEL;SHPORET;32038521;EV-60 MT Black 32003902;HEATER 66TOP230V1100W SAHTERM;2;2.16;Yes;Depo
"VESTEL;SHPORET;37052360;EV-60 MT Black Rrjeta;GRID(Y66,BIO,BIBU,DO61,MOLDED RACK);3;3.87;Yes;Depo"
"VESTEL;SHPORET;37035609;EV-60 MT Black;HANDLE TRIM ASSEMBLE (INOX DP,BLK,420);3;5.72;Yes;Depo"
"VESTEL;LAVATRIQE;42002568;WM611, ;TUB BELLOWS SEAL/ALVA 3-A;5;0.6;Yes;Depo"
"VESTEL;SHPORET;20758552;EV-60DT BLACK, tepsia;TRAY G(Y66,N65,N75,DO61,SHALLOW,BLACK);5;4.23;Yes;Depo"
VESTEL;SHPORET;42088175;EV-60 MT Black;NEW PLASTIC HINGE SLOT RIGHT;1;0.47;Yes;Depo
VESTEL;SHPORET;42088174;EV-60 MT Black;NEW PLASTIC HINGE SLOT LEFT;1;0.48;Yes;Depo
VESTEL;SHPORET;42194251;EV-60 MT Black;SAPS PLASTIC NUT;5;0.54;Yes;Depo
"VESTEL;SHPORET;42194544;EV-60 MT Black;PUSH/PULL KNOB (INOX,OVEN);5;4;Yes;Depo"
"VESTEL;THARESE;42315736;ETH-8HPN,  ventilatori;KOMP.COOLING FAN GR HP-BLK V3-MINZHUO;5;4.44;Yes;Depo"
"VESTEL;SHPORET;42194543;EV-60 MT Black;PUSH/PULL KNOB (INOX,OVEN);5;3.88;Yes;Depo"
VESTEL;LAVATRIQE;22040926;WM10K-1300;**E.CARD F4-4844FFF02030-V06C;1;22.58;Yes;Depo
VESTEL;ENELARES;22253134;EMO-08 FULLV;ELECT.CARD VI1D_7=_TI;1;13.55;Yes;Depo
"VESTEL;ENELARES;22151466;EMO-08 FULLV, displej;DIS.KART I1/DLI/KRMZ/20BMD02/23638223/GR;5;7.9;Yes;Depo"
VESTEL;SHPORET;32045764;EV-60 MT Black;HEATER 66UP+GRIL230V1200+1400W65L S BR;1;5.46;Yes;Depo
VESTEL;Frigorifer;42152193;vakum vegel  per frigorifer;MOUNT DISPLAY APPARATUS IMD (SERVICE);1;7.57;Yes;Depo
VESTEL;SHPORET;47009648;EV-60 MT Black;B-IN DOOR FULL INNER GLASS;5;6.09;Yes;Depo
VESTEL;LAVATRIQE;42025998;WM9-12T2T;UPPER TRAY GROUP/47/SIGMA PLUS;5;6.03;Yes;Depo
VESTEL;LAVATRIQE;4 2105200;WM10K-1300;FRONT TUB 57LT-TYPE3-E;5;6.09;Yes;Depo
VESTEL;TV;23794617;HYUNDAI 65HN8002HYXX I thyer;17MB180E;3;37;Yes;Depo
VESTEL;TV;;HYUNDAI 65HN8002HYXX I thyer;T-CON;3;;Yes;Depo
VESTEL;KLIMA;22232089;pllaka e jashtme C140;OD.PCB 32044424 0FFF38-1001AA;3;22.15;Yes;Depo
"VESTEL;LAVATRIQE;42002568;WM611, ;TUB BELLOWS SEAL/ALVA 3-A;5;0.6;Yes;Depo"
VESTEL;LAVATRIQE;42353167;WM10K-PREMIUM;DET.DRAW.COV.INSERT/ECOLUX PREMIUM B7T2T;3;2.15;Yes;Depo
VESTEL;LAVATRIQE;42329440;WM10K-PREMIUM;CON.PAN.GR.ECOLUX PREMIUM B7T0(WM10-1.2K;3;5.02;Yes;Depo
VESTEL;LAVATRIQE;42232493;WM9-1.2K PREMIUM;FRONT TUB 51LT-TYPE3-E;3;5.6;Yes;Depo
VESTEL;LAVATRIQE;22089096;WM10K-PREMIUM SN00721259005100560050;E.CARD FG-5DAFFFC078D40000-v01p;3;28.05;Yes;Depo
VESTEL;LAVATRIQE;22089099;WM10K-PREMIUM;LCD CARD GR FG/K240-BLCK-NL-v09j;3;55.23;Yes;Depo
"VESTEL;KLIMA;32045011;Tani 32053791 per CIN140, CIN200, CIN260 e brendshme;I.PCB FL BLDC WF/UV/EB 23691540/20KL13;3;17.65;Yes;Depo"
"VESTEL;SHPORET;32038577;EV-60 MT Black, 9pole;SWITCH BUILT IN/FS MAIN OVEN A;10;3.29;Yes;Depo"
VESTEL;LAVATRIQE;32041883;WM9-12T2T;MOTOR(12-1400/50-51-54-55LT)WELLING;10;53.86;Yes;Depo
VESTEL;ENELARES;32016053;Tani 32035069 edhe per MIDEA;WATER INLET VALVE 45 DEGREE;4;2.33;Yes;Depo
VESTEL;KLIMA;32032130;per CIN200N I brendshem;FAN MOTOR IDU FLORA 18/24 BLDC 27W;5;12;Yes;Depo
VESTEL;;32041427;;CAPACITOR(8uF-B SINIFI-M8) ORTAK KOD;5;1.92;Yes;Depo
"VESTEL;ENELARES;32039463;Tani 32040522 EMO-12BSIC, EMO-20, DW14V, 18IXV ETJ Goran Kraleve;WELLING WASHING PUMP-3;5;9.73;Yes;Depo"
VESTEL;Frigorifer;42218264;Tani 22435391 per ECO3951T  ;MAINBOARD COV GR BD67 375E/FK/V0(GRI);3;27.48;Yes;Depo
VESTEL;ENELARES;22073218;EMO-08FULLV 2019;ELEC.CARD VD21_7_YH F.SIZ;3;20;Yes;Depo
VESTEL;LAVATRIQE;2 0678006;;RESISTANCE GR.(S.FUSE-ST-B(1850W));3;3.37;Yes;Depo
VESTEL;THARESE;22356452;Tani 22391220 ETH-8HPN (06.01.24). Kjo nuk e zavendeson 22425777;E.CARD F4-10785101_F seriesHPAl09;4;13.91;Yes;Depo
VESTEL;LAVATRIQE;42313143;WM8-80WH;CON.PAN.GR.ECOLUX HF2A(WM8-80 WH);5;5.56;Yes;Depo
VESTEL;LAVATRIQE;42080166;WM8-80WH;UPPER TRAY GROUP-3/47;5;5.94;Yes;Depo
VESTEL;SHPORET;42213598;EV-60 MT black;HANDLE TRIM SUPPORTER (BLACK);5;0.84;Yes;Depo
VESTEL;LAVATRIQE;42306475;WM8-80WH;DET.BOX GR/FULL/COLD/47/5-HANYU;1;7.76;Yes;Depo
VESTEL;LAVATRIQE;42026020;WM10-1.2K;UPPER TRAY GROUP/57/SIGMA PLUS;1;6.51;Yes;Depo
